Level,Date and Time,Source,Event ID,Task Category
Information,30/10/2021 21.47.33,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: 7"
Error,30/10/2021 21.47.32,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,30/10/2021 21.47.25,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 59 to 60.

Reason: 3"
Warning,30/10/2021 21.47.24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,30/10/2021 21.47.24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,30/10/2021 21.47.24,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,30/10/2021 21.47.24,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 58 to 59.

Reason: 3"
Information,30/10/2021 21.46.37,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 56 to 58.

Reason: 3"
Information,30/10/2021 21.46.37,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Power Button."
Information,30/10/2021 21.45.47,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 21.45.47,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 55 to 56.

Reason: 3"
Information,30/10/2021 21.40.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 53 to 55.

Reason: 3"
Information,30/10/2021 21.40.50,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Power Button."
Information,30/10/2021 21.13.53,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 21.13.53,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 52 to 53.

Reason: 3"
Information,30/10/2021 21.03.37,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 50 to 52.

Reason: 3"
Information,30/10/2021 21.03.37,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Input Mouse."
Information,30/10/2021 20.59.38,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 20.59.38,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 49 to 50.

Reason: 3"
Information,30/10/2021 20.56.50,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,30/10/2021 20.54.45,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,30/10/2021 20.52.59,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 47 to 49.

Reason: 3"
Information,30/10/2021 20.52.59,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Input Mouse."
Information,30/10/2021 20.52.50,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 20.52.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 46 to 47.

Reason: 3"
Information,30/10/2021 20.52.49,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,30/10/2021 20.27.46,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 and APPID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-1948028993-3225539157-3440777148-1849744506-410510235-485761564-2294899468). This security permission can be modified using the Component Services administrative tool."
Information,30/10/2021 20.25.07,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.WindowsNotepad_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Warning,30/10/2021 20.23.59,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 and APPID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-1451493179-2683836608-1986857019-35721519-137045951-1170719439-2271252311). This security permission can be modified using the Component Services administrative tool."
Warning,30/10/2021 20.23.58,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 and APPID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-1451493179-2683836608-1986857019-35721519-137045951-1170719439-2271252311). This security permission can be modified using the Component Services administrative tool."
Warning,30/10/2021 20.22.20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 and APPID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-325075141-312602910-3260930255-266424518-1140312444-3195286659-3266461725). This security permission can be modified using the Component Services administrative tool."
Information,30/10/2021 19.49.55,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Error,30/10/2021 19.48.03,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{95162730-380D-4EDF-AC66-A0DFC4886950} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 19.47.56,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 44 to 46.

Reason: 3"
Information,30/10/2021 19.47.56,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Power Button."
Information,30/10/2021 19.47.47,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 19.47.47,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 43 to 44.

Reason: 3"
Error,30/10/2021 19.47.22,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 19.47.18,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Error,30/10/2021 19.47.17,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{F33BDF9B-BEA7-4AD3-9A8C-DD89DDFBAECA} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 19.47.14,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 41 to 43.

Reason: 3"
Information,30/10/2021 19.47.14,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,30/10/2021 19.47.14,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎10‎-‎30T09:23:24.590098700Z
Wake Time: ‎2021‎-‎10‎-‎30T12:47:13.385505200Z

Wake Source: Unknown"
Information,30/10/2021 19.47.13,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30/10/2021 19.47.13,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,30/10/2021 19.47.13,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 40 to 41.

Reason: 3"
Information,30/10/2021 19.47.12,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Error,30/10/2021 19.47.12,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,30/10/2021 19.47.12,googledrivefs3525,1,None,Wake from sleep detected.
Information,30/10/2021 19.47.12,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,30/10/2021 19.47.12,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,30/10/2021 19.47.12,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,30/10/2021 19.47.10,Netwtw06,7021,None,7021 - Connection telemetry fields and analysis usage
Error,30/10/2021 19.47.10,Microsoft-Windows-NDIS,10317,PnP,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #4, {95162730-380d-4edf-ac66-a0dfc4886950}, had event Fatal error: The miniport has failed a power transition to operational power"
Information,30/10/2021 19.47.09,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,30/10/2021 19.47.08,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,30/10/2021 19.47.08,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,30/10/2021 19.47.08,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎30T12:47:08.500000000Z from ‎2021‎-‎10‎-‎30T09:23:43.857860400Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2021‎-‎10‎-‎30T19:47:08.500000000Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,30/10/2021 16.23.43,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,30/10/2021 16.23.38,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Hibernate from Sleep - Fixed Timeout"
Error,30/10/2021 16.23.34,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 16.23.31,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30/10/2021 16.23.27,googledrivefs3525,1,None,Wake from sleep detected.
Information,30/10/2021 16.23.25,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 39 to 40.

Reason: 3"
Information,30/10/2021 16.23.25,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,30/10/2021 16.23.25,googledrivefs3525,1,None,Warning: no matching IRPs found for reply.
Information,30/10/2021 16.23.24,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Connected, Reason: None"
Error,30/10/2021 16.23.24,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Error,30/10/2021 15.08.31,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 15.08.23,googledrivefs3525,1,None,Wake from sleep detected.
Error,30/10/2021 15.08.21,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,30/10/2021 14.58.35,googledrivefs3525,1,None,Wake from sleep detected.
Information,30/10/2021 14.53.30,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: 7"
Information,30/10/2021 14.53.24,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 38 to 39.

Reason: 3"
Information,30/10/2021 14.53.24,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,30/10/2021 14.53.24,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 36 to 38.

Reason: 3"
Information,30/10/2021 14.53.24,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Warning,30/10/2021 14.53.24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,30/10/2021 14.53.24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,30/10/2021 14.53.20,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,30/10/2021 14.53.20,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 35 to 36.

Reason: 3"
Information,30/10/2021 14.53.19,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30/10/2021 14.53.19,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,30/10/2021 14.45.46,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,30/10/2021 14.43.40,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,30/10/2021 14.40.41,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,30/10/2021 14.40.40,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,30/10/2021 14.27.14,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\UserClasses.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30/10/2021 14.27.14,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Warning,30/10/2021 13.21.24,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30/10/2021 13.21.20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30/10/2021 13.05.51,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,30/10/2021 13.04.16,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.79.0)
Information,30/10/2021 13.04.07,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.79.0)
Information,30/10/2021 13.04.07,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,30/10/2021 13.04.01,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{95162730-380D-4EDF-AC66-A0DFC4886950} because another computer on the network has the same name.  The server could not start.
Error,30/10/2021 13.03.47,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 13.03.46,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Error,30/10/2021 13.03.40,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{F33BDF9B-BEA7-4AD3-9A8C-DD89DDFBAECA} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 13.03.39,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|[::]:123->[64:ff9b::3494:72bc]:123)."
Information,30/10/2021 13.03.39,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\svchost.exe (process ID:916) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30/10/2021 13.03.39,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎10‎-‎29T16:29:23.361562900Z
Wake Time: ‎2021‎-‎10‎-‎30T06:03:37.698807800Z

Wake Source: Unknown"
